Name,Commentario,Indicadores Presidencia,Operativo Anual,Operativo Diario,Operativo Fin de Semana y Semanal,Operativo Mensual,Tendencia Firme / No Firme,Ventas por Tienda y Division,Ventas Presidencia,Ventas Restaurantes,Ventas Viajes Palacio
01/05/25,,OK,N/A,OK,N/A,OK,OK,OK,OK,OK,OK
02/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
03/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
04/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
05/05/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
06/05/25,"Derivado de que el proveedor no proporcionó el archivo viajes_palacio.csv, el equipo no realizó el envío del “Reporte Ventas Viajes Palacio”. Esto en cumplimiento con el protocolo establecido, ya que, en ausencia del archivo, el reporte se generaría con valores en cero.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,NO
07/05/25,"Derivado de que el proveedor no proporcionó el archivo viajes_palacio.csv, el equipo no realizó el envío del “Reporte Ventas Viajes Palacio”. Esto en cumplimiento con el protocolo establecido, ya que, en ausencia del archivo, el reporte se generaría con valores en cero.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,NO
08/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
09/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
10/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
11/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
12/05/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
13/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
14/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
15/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
16/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
17/05/25,"Se presenta una diferencia del: 1% en tienda Santa Fe, 2% en tienda nuevo Coyoacán, 1% casa Palacio Santa Fe, -6% La Boutique Palacio Acoxpa, -1% ventas por internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.  Al generar el archivo de Boutiques 4 hojas presentaron información de un día anterior, por lo cual se procedió a generar de nuevo el reporte. Posterior a ello se validó el mismo y mostró información actualizada en todas sus hojas..",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
18/05/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
19/05/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
20/05/25,"muestran con diferencias del: 162% La Boutique Palacio Acapulco, 1% en Tienda Durango no aplica un % de diferencia para que se frenen los reportes, por lo que se continúa con las validaciones.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
21/05/25,"Se presenta una diferencia del 2% en tienda nuevo Coyoacán, -1% en ventas por internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.  Se recibió data del día para viajes, pero en la comparativa para el año anterior se reportó con data en ceros, por lo cual se notificó al equipo de Palacio, se nos indicó que se mandara ya que tenemos información del día.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
01/04/25,,OK,N/A,OK,N/A,OK,OK,OK,OK,OK,OK
02/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
03/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
04/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
05/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
06/04/25,"Derivado de que el proveedor no proporcionó el archivo viajes_palacio.csv, el equipo no realizó el envío del “Reporte Ventas Viajes Palacio”. Esto en cumplimiento con el protocolo establecido, ya que, en ausencia del archivo, el reporte se generaría con valores en cero.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,NO
07/04/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
08/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
09/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
10/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
11/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
12/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
13/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
14/04/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
15/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
16/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
17/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
18/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
19/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
20/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
21/04/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
22/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
23/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
24/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
25/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
26/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
27/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
28/04/25,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
29/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
29/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
30/04/25,,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
01/03/25,"Se presenta una diferencia del 35% entre ECC y PDTA en la tienda Casa Palacio Santa Fe y -1% entre ECC y PDTA en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,OK,OK,OK,OK,OK,OK,OK
02/03/25,"Se presenta una diferencia del 1% entre ECC y PDTA en la tienda Nuevo. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
03/03/25,"Se presenta una diferencia del 2% entre ECC y PDTA en Tienda Nuevo Coyoacán. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
04/03/25,"Se presenta una diferencia del -1% entre ECC y PDTA en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
05/03/25,"Se presenta una diferencia del 2% entre ECC y PDTA en Tienda Nuevo Coyoacán y -1 en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
06/03/25,"Se presenta una diferencia entre ECC y PDTA del -1 % en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido. Adicionalmente, se presentó un error al generar dos de los reportes (Boutiques y Tendencia y Dirección), el cual consistía en que el server no reconocía la vigencia de licencia; para resolverlo se reiniciaron los servicios de Tableau y se procedió a generar los reportes faltantes. Esto generó un atraso en la entrega de reportes, mismos que se entregaron a las 08:01 hrs.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
07/03/25,"Se presenta una diferencia entre ECC y PDTA del 7% en Casa Palacio Antara, -1% en Ventas por Internet y 1% en Tienda Durango. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
08/03/25,"Se presenta una diferencia entre ECC y PDTA del 2% en Casa Palacio Santa Fe y del -1% en Ventas por Internet. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
09/03/25,"Se presenta una diferencia entre ECC y PDTA del 1% en Tienda Santa Fe y 1% en Tienda Nuevo Coyoacán. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
10/03/25,"Se presenta una diferencia entre ECC y PDTA del 1% en Tienda Durango Perisur. Dicha variación se encuentra dentro del margen establecido, por lo que no es necesario detener la cadena operativa.",OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
